user_id,recency,frequency,monetary,year_month,active_period,avg_period,response
3,99,3,90.0,2015.04,10,3,1
24,6,3,32.75,2015.04,106,35,0
30,44,3,63.9,2015.04,31,10,1
34,17,3,287.25,2015.04,51,17,1
38,114,1,38.5,2015.04,0,0,0
45,32,4,72.0,2015.04,69,17,1
46,95,1,32.0,2015.04,0,0,0
48,110,1,24.0,2015.04,0,0,0
52,5,11,369.35,2015.04,102,9,1
57,55,2,165.5,2015.04,60,30,1
58,7,1,40.0,2015.04,0,0,0
61,31,4,138.1,2015.04,69,17,1
63,40,3,95.8,2015.04,51,17,1
72,22,4,0.0,2015.04,16,4,1
76,5,4,205.3,2015.04,108,27,1
79,11,2,31.4,2015.04,3,1,1
87,51,2,92.5,2015.04,41,20,1
88,59,1,111.0,2015.04,0,0,0
91,39,3,114.9,2015.04,75,25,1
104,8,6,402.3,2015.04,109,18,1
106,2,12,519.75,2015.04,104,8,1
129,15,3,39.96,2015.04,52,17,1
141,28,2,30.5,2015.04,39,19,1
143,4,19,325.6,2015.04,113,5,1
164,3,2,64.0,2015.04,80,40,0
170,12,4,751.3,2015.04,102,25,1
177,5,4,100.96000000000001,2015.04,84,21,1
178,3,12,96.0,2015.04,98,8,1
179,109,1,72.2,2015.04,0,0,0
180,57,2,56.44,2015.04,37,18,1
181,97,1,14.5,2015.04,0,0,0
182,9,3,102.25,2015.04,107,35,0
183,7,10,211.06,2015.04,100,10,1
193,3,1,18.9,2015.04,0,0,0
197,60,2,16.5,2015.04,8,4,1
210,58,3,265.0,2015.04,49,16,1
219,21,1,19.35,2015.04,0,0,0
222,27,1,27.0,2015.04,0,0,0
223,1,6,100.0,2015.04,103,17,1
225,60,1,30.5,2015.04,0,0,0
227,18,1,15.0,2015.04,0,0,0
240,35,3,57.25,2015.04,71,23,1
247,108,1,22.0,2015.04,0,0,0
264,86,2,40.5,2015.04,1,0,0
282,18,5,256.4,2015.04,97,19,1
302,66,3,158.5,2015.04,48,16,1
310,103,1,11.5,2015.04,0,0,0
316,8,5,127.65,2015.04,88,17,1
321,3,14,262.25,2015.04,106,7,1
329,5,16,241.5,2015.04,98,6,1
330,24,3,63.96,2015.04,29,9,1
342,3,3,64.3,2015.04,92,30,0
346,4,1,11.61,2015.04,0,0,0
347,26,2,124.2,2015.04,83,41,0
349,37,1,13.0,2015.04,0,0,0
352,54,1,80.5,2015.04,0,0,0
367,15,3,143.9,2015.04,39,13,1
368,10,3,48.0,2015.04,64,21,1
377,11,1,63.53,2015.04,0,0,0
380,1,6,347.2,2015.04,112,18,1
398,36,8,181.79,2015.04,76,9,1
403,99,3,43.2,2015.04,13,4,1
404,16,1,25.8,2015.04,0,0,0
415,18,3,164.4,2015.04,77,25,1
426,4,7,48.0,2015.04,85,12,1
427,105,1,7.5,2015.04,0,0,0
439,21,3,53.32,2015.04,50,16,1
441,4,1,104.9,2015.04,0,0,0
451,47,3,133.5,2015.04,71,23,1
458,33,3,98.75,2015.04,74,24,1
468,1,6,165.8,2015.04,102,17,1
472,31,2,64.0,2015.04,34,17,1
475,13,4,168.95,2015.04,89,22,1
481,16,2,71.9,2015.04,4,2,1
489,19,2,66.3,2015.04,45,22,1
492,34,4,153.19,2015.04,73,18,1
495,6,2,107.3,2015.04,111,55,0
501,63,2,160.5,2015.04,25,12,1
512,81,1,25.5,2015.04,0,0,0
521,43,1,28.9,2015.04,0,0,0
527,88,1,18.0,2015.04,0,0,0
530,43,1,18.0,2015.04,0,0,0
532,11,6,324.75,2015.04,94,15,1
541,2,3,40.75,2015.04,114,38,0
542,8,16,248.85,2015.04,106,6,1
543,106,1,48.0,2015.04,0,0,0
549,13,1,16.0,2015.04,0,0,0
555,34,1,19.5,2015.04,0,0,0
557,70,2,61.0,2015.04,16,8,1
560,74,1,14.5,2015.04,0,0,0
563,7,1,30.7,2015.04,0,0,0
565,96,1,82.25,2015.04,0,0,0
566,10,4,194.7,2015.04,84,21,1
567,4,10,338.75,2015.04,111,11,1
569,22,3,116.5,2015.04,56,18,1
573,5,9,178.25,2015.04,72,8,1
574,80,1,88.75,2015.04,0,0,0
577,25,6,266.1,2015.04,66,11,1
592,33,2,10.3,2015.04,9,4,1
594,3,7,195.9,2015.04,109,15,1
598,1,29,701.52,2015.04,111,3,1
619,16,13,144.0,2015.04,89,6,1
622,85,1,31.0,2015.04,0,0,0
633,30,7,98.01,2015.04,86,12,1
648,6,2,35.400000000000006,2015.04,34,17,1
649,28,2,32.0,2015.04,39,19,1
653,10,3,92.9,2015.04,35,11,1
656,43,3,50.75,2015.04,62,20,1
660,18,2,32.0,2015.04,66,33,0
662,4,6,96.0,2015.04,77,12,1
665,3,6,172.55,2015.04,99,16,1
684,64,1,19.0,2015.04,0,0,0
691,20,1,14.4,2015.04,0,0,0
708,1,19,568.64,2015.04,113,5,1
710,45,1,12.9,2015.04,0,0,0
713,24,3,116.4,2015.04,57,19,1
718,20,6,198.75,2015.04,84,14,1
734,45,4,64.0,2015.04,54,13,1
736,29,1,13.0,2015.04,0,0,0
744,21,3,81.25,2015.04,92,30,0
754,1,14,347.15,2015.04,114,8,1
768,108,1,30.5,2015.04,0,0,0
770,14,7,163.7,2015.04,71,10,1
771,25,2,204.0,2015.04,89,44,0
772,104,1,16.0,2015.04,0,0,0
777,7,5,79.0,2015.04,79,15,1
784,25,3,79.4,2015.04,65,21,1
785,16,2,34.0,2015.04,38,19,1
786,10,3,73.98,2015.04,99,33,0
790,17,1,40.7,2015.04,0,0,0
792,3,12,213.5,2015.04,103,8,1
800,4,4,120.75,2015.04,98,24,1
806,9,5,195.15,2015.04,98,19,1
807,8,11,185.0,2015.04,108,9,1
808,18,4,151.6,2015.04,92,23,1
812,29,1,25.8,2015.04,0,0,0
816,83,1,15.0,2015.04,0,0,0
826,4,7,172.1,2015.04,101,14,1
828,14,2,69.9,2015.04,42,21,1
830,18,1,12.9,2015.04,0,0,0
841,4,1,13.0,2015.04,0,0,0
844,21,2,46.35,2015.04,25,12,1
849,85,5,104.25,2015.04,31,6,1
856,42,5,198.8,2015.04,57,11,1
858,87,1,19.25,2015.04,0,0,0
866,57,1,14.5,2015.04,0,0,0
868,88,1,36.5,2015.04,0,0,0
875,115,1,50.0,2015.04,0,0,0
876,62,1,23.5,2015.04,0,0,0
886,10,2,28.8,2015.04,75,37,0
913,32,1,18.4,2015.04,0,0,0
919,37,1,12.9,2015.04,0,0,0
926,3,12,498.5,2015.04,111,9,1
928,10,11,388.75,2015.04,109,9,1
940,23,3,61.3,2015.04,31,10,1
944,38,2,0.8,2015.04,77,38,0
945,3,3,51.4,2015.04,87,29,1
948,84,1,14.4,2015.04,0,0,0
950,81,1,27.0,2015.04,0,0,0
953,93,1,29.0,2015.04,0,0,0
963,10,1,72.1,2015.04,0,0,0
969,6,1,164.5,2015.04,0,0,0
971,27,4,252.7,2015.04,77,19,1
973,41,2,26.0,2015.04,57,28,1
977,85,1,116.1,2015.04,0,0,0
978,111,1,56.0,2015.04,0,0,0
981,93,1,40.0,2015.04,0,0,0
983,7,16,251.25,2015.04,103,6,1
996,96,1,48.5,2015.04,0,0,0
998,74,3,45.0,2015.04,39,13,1
1000,18,4,48.75,2015.04,80,20,1
